   Coeff   Det    RedA RedB RedC X Y UnredA UnredB UnredC
      9    276   2, 0, 138     1, 2    554, 276, 138
     -6    276   4, 2, 70    1, 91    580038, 6372, 70
      9    276   6, 0, 46     1, 6    1662, 276, 46
      9    276   10, 2, 28    1, 89    222154, 2494, 28
      9    276   10, 2, 28   1, 267    1997170, 7478, 28
     -6    276   12, 6, 26    1, 53    73682, 1384, 26
     -6    276   14, 2, 20   1, 180    648734, 3602, 20
     -6    276   14, 2, 20   1, 263    1384446, 5262, 20
      7    280   2, 0, 140    1, 63    555662, 8820, 140
      7    280   4, 0, 70   1, 126    1111324, 8820, 70
     -8    280   10, 0, 28    1, 38    40442, 1064, 28
     -8    280   14, 0, 20   1, 113    255394, 2260, 20
      9    284   2, 0, 142    1, 53    398880, 7526, 142
      1    284   4, 2, 72   1, 234    3943372, 16850, 72
     -6    284   6, 2, 48    1, 74    263150, 3554, 48
     -6    284   6, 2, 48   1, 226    2452558, 10850, 48
    -14    284   8, 2, 36   1, 191    1314088, 6878, 36
      1    284   8, 2, 36   1, 209    1573360, 7526, 36
      9    284   10, 4, 30    1, 26    20498, 784, 30
     -6    284   10, 4, 30   1, 103    319104, 3094, 30
     16    284   12, 2, 24   1, 148    526300, 3554, 24
      1    284   12, 2, 24   1, 175    735712, 4202, 24
      9    284   16, 2, 18   1, 105    198886, 1892, 18
      9    284   16, 2, 18   1, 141    358438, 2540, 18
      1    284   16, 6, 20    1, 99    197224, 1986, 20
    -14    284   16, 6, 20   1, 122    299160, 2446, 20
      5    287   2, 1, 144    1, 14    28254, 2017, 144
    -10    287   4, 1, 72    1, 28    56508, 2017, 72
      5    287   4, 1, 72    1, 72    373396, 5185, 72
    -10    287   6, 1, 48    1, 42    84762, 2017, 48
    -10    287   6, 1, 48   1, 108    560094, 5185, 48
      5    287   8, 1, 36    1, 56    113016, 2017, 36
    -10    287   8, 1, 36   1, 144    746792, 5185, 36
     20    287   12, 1, 24    1, 84    169524, 2017, 24
    -10    287   12, 1, 24   1, 216    1120188, 5185, 24
      5    287   12, 5, 26   1, 114    339048, 2969, 26
     20    287   12, 5, 26   1, 120    375612, 3125, 26
    -10    287   14, 7, 24     1, 8    1662, 199, 24
    -10    287   16, 1, 18    1, 11    2216, 199, 18
      5    287   16, 1, 18   1, 112    226032, 2017, 18
     -2    296   2, 0, 148    1, 84    1044290, 12432, 148
     -2    296   4, 0, 74   1, 109    879198, 8066, 74
     13    296   6, 2, 50    1, 27    36564, 1352, 50
     -2    296   6, 2, 50   1, 261    3407100, 13052, 50
     13    296   10, 2, 30    1, 45    60940, 1352, 30
     -2    296   10, 2, 30   1, 158    749562, 4742, 30
     -2    296   12, 4, 26    1, 97    245422, 2526, 26
     -2    296   12, 4, 26   1, 201    1052046, 5230, 26
     -2    296   18, 8, 20   1, 178    636546, 3568, 20
     -2    296   18, 8, 20   1, 209    876982, 4188, 20
     -1    299   2, 1, 150    1, 89    1188330, 13351, 150
     -1    299   6, 1, 50   1, 154    1186114, 7701, 50
     -1    299   6, 1, 50   1, 267    3564990, 13351, 50
     -1    299   10, 1, 30    1, 72    155674, 2161, 30
     -1    299   10, 1, 30   1, 168    847066, 5041, 30
     -1    299   14, 3, 22   1, 224    1105230, 4931, 22
     -1    299   14, 3, 22   1, 229    1155090, 5041, 22
     -1    299   18, 5, 18    1, 89    143486, 1607, 18
      3    300   2, 0, 150    1, 34    173402, 5100, 150
     -6    300   4, 2, 76   1, 188    2686900, 14290, 76
      3    300   6, 0, 50   1, 102    520206, 5100, 50
